Age,Department,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
30,Research & Development,Medical,41,Male,83,Laboratory Technician,2206,16117,1,No,13,3,0,10,10,0,1
39,Sales,Technical Degree,42,Male,56,Sales Representative,2086,3335,3,No,14,3,1,19,1,0,0
24,Research & Development,Medical,45,Male,61,Research Scientist,2293,3020,2,Yes,16,3,1,6,2,0,2
43,Research & Development,Medical,46,Female,72,Research Scientist,2645,21923,1,No,12,3,2,6,5,3,1
50,Sales,Marketing,47,Male,86,Sales Representative,2683,3810,1,Yes,14,3,0,3,3,2,0
35,Sales,Marketing,49,Female,97,Sales Representative,2014,9687,1,No,13,3,0,2,2,2,2
36,Research & Development,Life Sciences,51,Female,82,Research Scientist,3419,13072,9,Yes,14,3,1,6,1,1,0
33,Sales,Life Sciences,52,Female,42,Sales Executive,5376,3193,2,No,19,3,2,10,5,3,1
35,Research & Development,Other,53,Male,75,Laboratory Technician,1951,10910,1,No,12,3,1,1,1,0,0
27,Research & Development,Life Sciences,54,Female,33,Laboratory Technician,2341,19715,1,No,13,3,1,1,1,0,0
26,Research & Development,Life Sciences,55,Male,48,Laboratory Technician,2293,10558,1,No,12,3,0,1,1,0,0
27,Sales,Life Sciences,56,Male,37,Sales Executive,8726,2975,1,No,15,3,0,9,9,8,1
30,Research & Development,Medical,57,Female,58,Laboratory Technician,4011,10781,1,No,23,4,0,12,12,8,3
41,Research & Development,Technical Degree,58,Female,49,Research Director,19545,16280,1,No,12,3,0,23,22,15,15
34,Sales,Marketing,60,Male,72,Sales Executive,4568,10034,0,No,20,4,0,10,9,5,8
37,Research & Development,Life Sciences,61,Male,73,Research Scientist,3022,10227,4,No,21,4,0,8,1,0,0
46,Sales,Marketing,62,Male,98,Sales Executive,5772,20445,4,Yes,21,4,0,14,9,6,0
35,Research & Development,Life Sciences,63,Male,36,Laboratory Technician,2269,4892,1,No,19,3,0,1,1,0,0
48,Research & Development,Life Sciences,64,Male,98,Laboratory Technician,5381,19294,9,Yes,13,3,0,23,1,0,0
28,Research & Development,Technical Degree,65,Male,50,Laboratory Technician,3441,11179,1,Yes,13,3,0,2,2,2,2
44,Sales,Marketing,68,Female,75,Sales Executive,5454,4009,5,Yes,21,4,1,9,4,3,1
35,Research & Development,Medical,70,Male,79,Healthcare Representative,9884,8302,2,Yes,13,3,1,10,4,0,2
26,Sales,Marketing,72,Female,47,Sales Executive,4157,21436,7,Yes,19,3,1,5,2,2,0
33,Research & Development,Life Sciences,73,Female,98,Research Director,13458,15146,1,Yes,12,3,0,15,15,14,8
35,Sales,Life Sciences,74,Male,71,Sales Executive,9069,11031,1,No,22,4,1,9,9,8,1
35,Research & Development,Medical,75,Female,30,Laboratory Technician,4014,16002,3,Yes,15,3,1,4,2,2,2
31,Research & Development,Life Sciences,76,Male,48,Laboratory Technician,5915,9528,3,No,22,4,1,10,7,7,1
37,Research & Development,Life Sciences,77,Male,51,Manufacturing Director,5993,2689,1,No,18,3,1,7,7,5,0
32,Research & Development,Medical,78,Male,33,Manufacturing Director,6162,10877,1,Yes,22,4,1,9,9,8,7
38,Research & Development,Life Sciences,79,Female,50,Laboratory Technician,2406,5456,1,No,11,3,0,10,10,3,9
50,Research & Development,Medical,80,Female,43,Research Director,18740,16701,5,Yes,12,3,1,29,27,3,13
59,Sales,Life Sciences,81,Female,99,Sales Executive,7637,2354,7,No,11,3,0,28,21,16,7
36,Research & Development,Technical Degree,83,Female,59,Healthcare Representative,10096,8202,1,No,13,3,3,17,17,14,12
55,Research & Development,Medical,84,Female,33,Manager,14756,19730,2,Yes,14,3,3,21,5,0,0
36,Research & Development,Life Sciences,85,Male,95,Manufacturing Director,6499,22656,1,No,13,3,0,6,6,5,0
45,Research & Development,Life Sciences,86,Male,59,Research Scientist,9724,18787,2,No,17,3,1,25,1,0,0
35,Research & Development,Medical,88,Male,79,Research Scientist,2194,5868,4,No,13,3,1,5,3,2,1
36,Research & Development,Medical,90,Male,79,Research Scientist,3388,21777,0,Yes,17,3,1,2,1,0,0
59,Sales,Life Sciences,91,Female,57,Sales Executive,5473,24668,7,No,11,3,0,20,4,3,1
29,Research & Development,Life Sciences,94,Male,76,Research Scientist,2703,4956,0,No,23,4,1,6,5,4,0
31,Research & Development,Medical,95,Male,87,Research Scientist,2501,18775,1,No,17,3,0,1,1,1,1
32,Research & Development,Life Sciences,96,Male,66,Research Scientist,6220,7346,1,No,17,3,2,10,10,4,0
36,Research & Development,Life Sciences,97,Female,55,Laboratory Technician,3038,22002,3,No,12,3,0,5,1,0,0
31,Research & Development,Life Sciences,98,Female,61,Manufacturing Director,4424,20682,1,No,23,4,0,11,11,7,1
35,Sales,Marketing,100,Male,32,Sales Executive,4312,23016,0,No,14,3,0,16,15,13,2
45,Research & Development,Other,101,Male,52,Research Director,13245,15067,4,Yes,14,3,0,17,0,0,0
37,Research & Development,Medical,102,Male,30,Research Director,13664,25258,4,No,13,3,0,16,5,2,0
46,Human Resources,Medical,103,Male,80,Human Resources,5021,10425,8,Yes,22,4,1,16,4,2,0
30,Research & Development,Life Sciences,104,Male,55,Laboratory Technician,5126,15998,1,Yes,12,3,2,10,10,8,3
35,Research & Development,Medical,105,Male,30,Research Scientist,2859,26278,1,No,18,3,0,6,6,4,0
55,Sales,Life Sciences,106,Male,70,Sales Executive,10239,18092,3,No,14,3,1,24,1,0,1
38,Research & Development,Medical,107,Female,79,Research Scientist,5329,15717,7,Yes,12,3,3,17,13,11,1
34,Research & Development,Medical,110,Male,94,Manufacturing Director,4325,17736,1,No,15,3,0,5,5,2,1
56,Research & Development,Life Sciences,112,Male,49,Manufacturing Director,7260,21698,4,No,11,3,0,37,6,4,0
23,Sales,Technical Degree,113,Male,62,Sales Representative,2322,9518,3,No,13,3,1,3,0,0,0
51,Research & Development,Life Sciences,116,Male,96,Laboratory Technician,2075,18725,3,No,23,4,2,10,4,2,0
30,Research & Development,Life Sciences,117,Male,99,Healthcare Representative,4152,15830,1,No,19,3,3,11,11,10,10
46,Sales,Medical,118,Male,64,Sales Executive,9619,13596,1,No,16,3,0,9,9,8,4
40,Research & Development,Life Sciences,119,Male,78,Healthcare Representative,13503,14115,1,No,22,4,1,22,22,3,11
51,Sales,Marketing,120,Male,71,Sales Executive,5441,8423,0,Yes,22,4,0,11,10,7,1
30,Sales,Medical,121,Female,63,Sales Executive,5209,19760,1,Yes,12,3,3,11,11,8,2
46,Research & Development,Medical,124,Male,40,Healthcare Representative,10673,3142,2,Yes,13,3,1,21,10,9,9
32,Sales,Medical,125,Male,87,Sales Executive,5010,24301,1,No,16,3,0,12,11,8,5
54,Research & Development,Technical Degree,126,Female,60,Research Director,13549,24001,9,No,12,3,1,16,4,3,0
24,Sales,Other,128,Female,33,Sales Executive,4999,17519,0,No,21,4,1,4,3,2,0
28,Sales,Medical,129,Male,43,Sales Executive,4221,8863,1,No,15,3,0,5,5,4,0
58,Sales,Medical,131,Male,37,Sales Executive,13872,24409,0,No,13,3,0,38,37,10,1
44,Research & Development,Medical,132,Male,67,Laboratory Technician,2042,25043,4,No,12,3,1,17,3,2,1
37,Human Resources,Human Resources,133,Male,63,Human Resources,2073,23648,4,Yes,22,4,0,7,3,2,0
32,Research & Development,Life Sciences,134,Male,71,Research Scientist,2956,15178,1,No,13,3,0,1,1,0,0
20,Research & Development,Life Sciences,137,Female,66,Laboratory Technician,2926,19783,1,Yes,18,3,0,1,1,0,1
34,Research & Development,Other,138,Female,41,Research Scientist,4809,12482,1,No,14,3,0,16,16,13,2
37,Research & Development,Life Sciences,139,Male,100,Healthcare Representative,5163,15850,5,No,14,3,1,17,1,0,0
59,Human Resources,Human Resources,140,Female,32,Manager,18844,21922,9,No,21,4,1,30,3,2,2
50,Research & Development,Life Sciences,141,Female,73,Research Director,18172,9755,3,Yes,19,3,0,28,8,3,0
25,Sales,Marketing,142,Male,46,Sales Executive,5744,26959,1,Yes,11,3,0,6,6,4,0
25,Research & Development,Medical,143,Male,64,Research Scientist,2889,26897,1,No,11,3,2,2,2,2,2
22,Research & Development,Medical,144,Female,59,Laboratory Technician,2871,23785,1,No,15,3,0,1,0,0,0
51,Research & Development,Medical,145,Female,30,Healthcare Representative,7484,25796,3,No,20,4,0,23,13,12,12
34,Research & Development,Life Sciences,147,Male,66,Laboratory Technician,6074,22887,1,Yes,24,4,0,9,9,7,0
54,Human Resources,Human Resources,148,Female,30,Manager,17328,13871,2,Yes,12,3,0,23,5,3,4
24,Research & Development,Life Sciences,150,Male,52,Laboratory Technician,2774,13257,0,No,12,3,1,6,5,3,1
34,Research & Development,Life Sciences,151,Female,45,Research Scientist,4505,15000,6,No,15,3,1,12,1,0,0
37,Sales,Life Sciences,152,Male,87,Sales Executive,7428,14506,2,No,12,3,0,12,5,3,1
34,Research & Development,Medical,153,Female,45,Manager,11631,5615,2,No,12,3,0,14,11,10,5
36,Sales,Technical Degree,154,Female,92,Sales Executive,9738,22952,0,No,14,3,1,10,9,7,2
36,Research & Development,Life Sciences,155,Female,39,Laboratory Technician,2835,2561,5,No,22,4,1,7,1,0,0
43,Sales,Life Sciences,158,Male,92,Manager,16959,19494,1,Yes,12,3,2,25,25,12,4
30,Research & Development,Life Sciences,159,Male,96,Research Scientist,2613,22310,1,No,25,4,3,10,10,7,0
33,Sales,Marketing,160,Male,95,Sales Executive,6146,15480,0,No,13,3,1,8,7,7,0
56,Research & Development,Life Sciences,161,Female,72,Research Scientist,4963,4510,9,Yes,18,3,3,7,5,4,4
51,Research & Development,Life Sciences,162,Male,51,Research Director,19537,6462,7,No,13,3,0,23,20,18,15
31,Sales,Life Sciences,163,Male,76,Sales Executive,6172,20739,4,Yes,18,3,0,12,7,7,7
26,Research & Development,Other,164,Female,46,Research Scientist,2368,23300,1,No,19,3,0,5,5,4,4
58,Research & Development,Medical,165,Female,94,Healthcare Representative,10312,3465,1,No,12,3,1,40,40,10,15
19,Sales,Marketing,167,Male,50,Sales Representative,1675,26820,1,Yes,19,3,0,0,0,0,0
22,Research & Development,Technical Degree,169,Male,100,Laboratory Technician,2523,19299,0,No,14,3,1,3,2,1,2
49,Research & Development,Medical,170,Female,96,Manufacturing Director,6567,5549,1,No,14,3,0,16,15,11,5
43,Research & Development,Medical,171,Female,72,Research Scientist,4739,16090,4,No,12,3,0,18,3,2,1
50,Sales,Marketing,174,Female,77,Sales Executive,9208,6645,4,No,11,3,0,16,2,2,2
31,Sales,Life Sciences,175,Female,71,Sales Executive,4559,24788,3,Yes,11,3,1,4,2,2,2
41,Sales,Life Sciences,176,Male,96,Sales Executive,8189,21196,3,Yes,13,3,1,12,9,7,0
26,Human Resources,Life Sciences,177,Female,61,Human Resources,2942,8916,1,No,23,4,1,8,8,7,5
36,Research & Development,Medical,178,Male,84,Manufacturing Director,4941,2819,6,No,20,4,2,7,3,2,0
51,Research & Development,Life Sciences,179,Male,53,Manufacturing Director,10650,25150,2,No,15,3,0,18,4,2,0
39,Sales,Life Sciences,182,Female,47,Sales Executive,5902,14590,4,No,14,3,1,17,15,11,5
25,Sales,Life Sciences,183,Male,41,Sales Executive,8639,24835,2,No,18,3,0,6,2,2,2
30,Human Resources,Human Resources,184,Male,48,Human Resources,6347,13982,0,Yes,19,3,0,12,11,9,4
32,Research & Development,Medical,190,Female,41,Laboratory Technician,4200,10224,7,No,22,4,0,10,5,4,0
45,Research & Development,Medical,192,Male,83,Research Scientist,3452,9752,5,No,13,3,0,9,6,5,0
38,Research & Development,Technical Degree,193,Female,32,Research Scientist,4317,2302,3,Yes,20,4,0,19,3,2,2
30,Research & Development,Life Sciences,194,Female,75,Research Scientist,2632,23910,1,No,14,3,0,5,5,4,0
32,Sales,Medical,195,Male,35,Sales Executive,4668,22812,0,No,17,3,3,9,8,7,0
30,Research & Development,Technical Degree,197,Female,84,Research Scientist,3204,10415,5,No,14,3,1,8,3,2,2
30,Research & Development,Medical,198,Male,35,Laboratory Technician,2720,11162,0,No,13,3,0,6,5,3,1
41,Research & Development,Life Sciences,199,Male,91,Manager,17181,12888,4,No,13,3,1,21,7,6,7
41,Research & Development,Life Sciences,200,Male,94,Laboratory Technician,2238,6961,2,No,21,4,1,7,5,0,1
19,Research & Development,Medical,201,Female,79,Laboratory Technician,1483,16102,1,No,14,3,0,1,1,0,0
40,Research & Development,Medical,202,Female,54,Research Scientist,5605,8504,1,No,11,3,1,20,20,7,2
35,Sales,Marketing,204,Male,94,Sales Executive,7295,11439,1,No,13,3,2,10,10,8,0
53,Sales,Marketing,205,Male,34,Sales Representative,2306,16047,2,Yes,20,4,1,13,7,7,4
45,Research & Development,Life Sciences,206,Male,60,Laboratory Technician,2348,10901,8,No,18,3,1,20,17,9,0
32,Sales,Marketing,207,Female,43,Sales Executive,8998,15589,1,No,14,3,0,9,9,8,3
29,Research & Development,Technical Degree,208,Male,41,Manufacturing Director,4319,26283,1,No,13,3,1,10,10,7,0
51,Research & Development,Medical,211,Male,34,Manufacturing Director,6132,13983,2,No,17,3,0,10,1,0,0
58,Research & Development,Medical,214,Female,75,Research Scientist,3346,11873,4,Yes,20,4,1,9,1,0,0
40,Sales,Marketing,215,Male,67,Sales Executive,10855,8552,7,No,11,3,1,15,12,11,2
34,Sales,Marketing,216,Female,75,Sales Representative,2231,11314,6,No,18,3,1,6,4,3,1
22,Research & Development,Medical,217,Male,80,Research Scientist,2323,11992,1,No,24,4,2,2,2,2,2
27,Research & Development,Medical,218,Male,57,Research Scientist,2024,5970,6,No,18,3,1,6,2,2,2
28,Research & Development,Medical,221,Male,42,Research Scientist,2713,6672,1,No,11,3,1,5,5,2,0
57,Research & Development,Life Sciences,223,Male,83,Healthcare Representative,9439,23402,3,Yes,16,3,1,12,5,3,1
27,Research & Development,Medical,224,Male,79,Research Scientist,2566,25326,1,Yes,15,3,1,1,1,1,0
50,Research & Development,Life Sciences,226,Female,53,Manager,19926,17053,3,No,15,3,0,21,5,4,4
41,Research & Development,Life Sciences,227,Male,56,Research Scientist,2451,4609,4,No,12,3,1,13,9,8,1
30,Sales,Life Sciences,228,Female,41,Sales Executive,9419,8053,2,No,12,3,1,12,10,9,7
38,Sales,Life Sciences,230,Female,59,Sales Executive,8686,12930,4,No,22,4,0,12,8,3,0
32,Research & Development,Life Sciences,231,Male,43,Research Scientist,3038,12430,3,No,20,4,0,8,5,4,1
27,Research & Development,Technical Degree,233,Male,51,Research Scientist,3058,13364,0,Yes,16,3,1,6,5,2,1
19,Sales,Technical Degree,235,Female,100,Sales Representative,2325,20989,0,No,21,4,0,1,0,0,0
36,Research & Development,Medical,238,Male,30,Laboratory Technician,2088,15062,4,No,12,3,0,13,8,7,7
30,Research & Development,Medical,239,Male,66,Laboratory Technician,3072,11012,1,No,11,3,2,12,12,9,6
45,Sales,Life Sciences,240,Female,30,Sales Executive,5006,6319,4,Yes,11,3,1,9,5,4,0
56,Research & Development,Life Sciences,241,Female,67,Research Scientist,4257,13939,4,Yes,18,3,1,19,2,2,2
33,Research & Development,Life Sciences,242,Male,90,Research Scientist,2500,10515,0,No,14,3,0,4,3,1,0
19,Research & Development,Life Sciences,243,Male,47,Laboratory Technician,1102,9241,1,No,22,4,0,1,1,0,1
46,Sales,Marketing,244,Female,92,Sales Executive,10453,2137,1,No,25,4,3,24,24,13,15
38,Research & Development,Life Sciences,245,Female,75,Laboratory Technician,2288,6319,1,No,12,3,0,2,2,2,2
31,Research & Development,Medical,246,Female,95,Research Scientist,3929,6984,8,Yes,23,4,1,7,4,2,0
34,Research & Development,Medical,247,Female,95,Research Scientist,2311,5711,2,No,15,3,0,9,3,2,1
41,Sales,Marketing,248,Female,70,Sales Representative,3140,21728,1,Yes,22,4,0,4,4,3,0
50,Research & Development,Medical,249,Male,86,Laboratory Technician,3690,3425,2,No,15,3,1,5,3,2,0
53,Research & Development,Medical,250,Female,57,Manufacturing Director,4450,26250,1,No,11,3,2,5,4,2,1
33,Research & Development,Medical,252,Female,72,Research Scientist,2756,4673,1,No,13,3,1,8,8,7,1
40,Research & Development,Medical,253,Female,46,Manager,19033,6499,1,No,14,3,1,21,20,8,9
55,Research & Development,Medical,254,Male,61,Research Director,18722,13339,8,No,11,3,0,36,24,15,2
34,Research & Development,Life Sciences,256,Male,45,Manufacturing Director,9547,14074,1,No,17,3,0,10,10,9,1
51,Research & Development,Medical,258,Female,98,Healthcare Representative,13734,7192,3,No,18,3,0,21,7,7,1
52,Research & Development,Life Sciences,259,Male,65,Manager,19999,5678,0,No,14,3,1,34,33,18,11
27,Research & Development,Medical,260,Female,99,Research Scientist,2279,11781,1,No,16,3,0,7,7,7,0
35,Research & Development,Life Sciences,261,Male,50,Manufacturing Director,5916,15497,3,Yes,13,3,0,8,1,0,0
43,Research & Development,Medical,262,Male,37,Research Scientist,2089,5228,4,No,14,3,3,7,5,4,2
45,Research & Development,Medical,264,Male,65,Manager,16792,20462,9,No,23,4,1,22,20,8,11
37,Research & Development,Life Sciences,267,Male,65,Research Scientist,3564,22977,1,Yes,12,3,1,8,8,7,1
35,Research & Development,Medical,269,Female,37,Laboratory Technician,4425,15986,5,No,11,3,0,10,6,2,1
42,Research & Development,Medical,270,Female,36,Manufacturing Director,5265,16439,2,No,16,3,1,11,5,3,0
38,Research & Development,Life Sciences,271,Male,88,Manufacturing Director,6553,7259,9,No,14,3,0,14,1,0,0
38,Research & Development,Technical Degree,273,Male,54,Manufacturing Director,6261,4185,3,No,18,3,1,9,7,7,1
27,Research & Development,Technical Degree,274,Male,60,Manufacturing Director,4298,9679,5,No,19,3,1,6,2,2,2
49,Research & Development,Life Sciences,275,Male,92,Manufacturing Director,6804,23793,1,Yes,15,3,2,7,7,7,1
34,Research & Development,Medical,277,Male,43,Research Scientist,3815,5972,1,Yes,17,3,1,5,5,3,2
40,Research & Development,Medical,281,Male,99,Laboratory Technician,2741,16523,8,Yes,15,3,1,15,7,2,3
38,Research & Development,Medical,282,Male,70,Healthcare Representative,6673,11354,7,Yes,19,3,0,17,1,0,0
29,Sales,Marketing,283,Female,35,Sales Executive,7639,24525,1,No,22,4,3,10,10,4,1
22,Research & Development,Life Sciences,284,Male,60,Research Scientist,2328,12392,1,Yes,16,3,1,4,4,2,2
36,Research & Development,Medical,286,Female,73,Laboratory Technician,2153,7703,1,No,13,3,0,8,8,1,1
40,Research & Development,Life Sciences,287,Male,63,Healthcare Representative,4876,14242,9,No,14,3,1,5,3,2,0
46,Research & Development,Medical,288,Male,97,Healthcare Representative,9396,12368,7,No,16,3,1,17,4,2,0
32,Sales,Medical,291,Male,32,Sales Executive,10400,25812,1,No,11,3,0,14,14,8,9
30,Research & Development,Life Sciences,292,Male,88,Manufacturing Director,8474,20925,1,No,22,4,0,12,11,8,5
27,Sales,Life Sciences,293,Female,90,Sales Executive,9981,12916,1,No,14,3,0,7,7,7,0
51,Research & Development,Life Sciences,296,Male,81,Research Director,12490,15736,5,No,16,3,2,16,10,9,4
30,Research & Development,Technical Degree,297,Female,88,Research Scientist,2657,8556,5,Yes,11,3,0,8,5,2,0
41,Sales,Life Sciences,298,Female,75,Manager,13591,14674,3,Yes,18,3,0,16,1,0,0
30,Sales,Marketing,299,Female,52,Sales Executive,6696,22967,5,No,15,3,0,9,6,3,0
29,Research & Development,Technical Degree,300,Male,85,Research Scientist,2058,19757,0,No,14,3,0,7,6,2,1
45,Sales,Medical,302,Female,57,Sales Executive,8865,16840,6,No,12,3,0,23,19,7,12
54,Sales,Marketing,303,Female,52,Sales Executive,5940,17011,2,No,14,3,1,16,6,2,0
36,Research & Development,Life Sciences,304,Male,62,Laboratory Technician,5914,9945,8,No,16,3,0,16,13,11,3
33,Research & Development,Medical,305,Female,47,Research Scientist,2622,13248,6,No,21,4,0,7,3,2,1
37,Research & Development,Other,306,Male,47,Research Director,12185,10056,1,Yes,14,3,3,10,10,8,0
38,Sales,Life Sciences,307,Male,76,Sales Executive,10609,9647,0,No,12,3,2,17,16,10,5
31,Research & Development,Medical,308,Male,90,Manufacturing Director,4345,4381,0,No,12,3,1,6,5,4,1
59,Research & Development,Life Sciences,309,Male,70,Research Scientist,2177,8456,3,No,17,3,1,7,1,0,0
37,Sales,Marketing,311,Male,41,Sales Representative,2793,2539,4,No,17,3,1,13,9,8,5
29,Sales,Medical,312,Female,42,Sales Executive,7918,6599,1,No,14,3,1,11,11,10,4
35,Sales,Marketing,314,Female,92,Sales Executive,8789,9096,1,No,14,3,0,10,10,7,0
29,Research & Development,Medical,315,Male,86,Research Scientist,2389,14961,1,Yes,13,3,0,4,4,3,0
52,Research & Development,Life Sciences,316,Female,89,Laboratory Technician,3212,3300,7,No,15,3,0,6,2,2,2
42,Research & Development,Technical Degree,319,Male,58,Manager,19232,4933,1,No,11,3,0,22,22,17,11
59,Human Resources,Medical,321,Male,52,Human Resources,2267,25657,8,No,17,3,0,7,2,2,2
50,Sales,Medical,323,Female,68,Manager,19517,24118,3,No,11,3,1,32,7,0,0
33,Research & Development,Medical,325,Male,58,Laboratory Technician,2436,22149,5,Yes,13,3,1,8,5,4,0
43,Sales,Marketing,327,Female,80,Manager,16064,7744,5,Yes,22,4,1,22,17,13,1
33,Research & Development,Life Sciences,328,Female,39,Laboratory Technician,2707,21509,7,No,20,4,0,13,9,7,1
52,Sales,Life Sciences,329,Male,79,Manager,19068,21030,1,Yes,18,3,0,33,33,7,15
32,Sales,Life Sciences,330,Female,56,Sales Representative,3931,20990,2,No,11,3,1,6,4,3,1
32,Research & Development,Life Sciences,331,Male,62,Laboratory Technician,3730,9571,0,Yes,14,3,0,4,3,2,1
39,Research & Development,Medical,332,Female,96,Laboratory Technician,2232,15417,7,No,14,3,3,7,3,2,1
32,Sales,Marketing,333,Male,100,Sales Executive,4465,12069,0,No,18,3,0,4,3,2,2
41,Research & Development,Life Sciences,334,Male,36,Research Scientist,3072,19877,2,No,16,3,2,17,1,0,0
40,Research & Development,Technical Degree,335,Male,62,Research Scientist,3319,24447,1,No,17,3,2,9,9,8,4
45,Research & Development,Other,336,Male,70,Manager,19202,15970,0,No,11,3,1,25,24,0,1
31,Research & Development,Medical,337,Male,73,Research Director,13675,13523,9,No,12,3,1,9,2,2,2
33,Research & Development,Life Sciences,338,Female,63,Research Scientist,2911,14776,1,No,13,3,1,2,2,2,0
34,Research & Development,Life Sciences,339,Male,84,Manufacturing Director,5957,23687,6,No,13,3,1,13,11,9,5
37,Research & Development,Medical,340,Female,83,Research Scientist,3920,18697,2,No,14,3,1,17,3,1,0
45,Research & Development,Life Sciences,341,Male,77,Manufacturing Director,6434,5118,4,No,17,3,1,9,3,2,0
37,Research & Development,Medical,342,Male,61,Manufacturing Director,10048,22573,6,No,11,3,2,17,1,0,0
39,Research & Development,Technical Degree,343,Female,64,Healthcare Representative,10938,6420,0,No,25,4,0,20,19,6,11
29,Research & Development,Life Sciences,346,Male,60,Research Scientist,2340,22673,1,No,19,3,0,6,6,5,1
42,Research & Development,Life Sciences,347,Female,82,Research Scientist,6545,23016,3,Yes,13,3,0,10,3,2,0
29,Sales,Marketing,349,Male,45,Sales Executive,6931,10732,2,No,14,3,1,10,3,2,0
25,Research & Development,Life Sciences,350,Female,62,Manufacturing Director,4898,7505,0,No,12,3,2,5,4,2,1
42,Research & Development,Medical,351,Female,56,Laboratory Technician,2593,8007,0,Yes,11,3,1,10,9,6,7
40,Research & Development,Medical,352,Male,49,Research Director,19436,5949,0,No,19,3,1,22,21,7,3
51,Research & Development,Life Sciences,353,Male,96,Research Scientist,2723,23231,1,No,11,3,0,1,1,0,0
31,Research & Development,Medical,355,Male,71,Laboratory Technician,3479,11652,0,No,11,3,0,6,5,4,1
32,Research & Development,Life Sciences,359,Male,100,Laboratory Technician,2794,26062,1,No,20,4,0,5,5,1,0
38,Sales,Life Sciences,361,Male,39,Sales Executive,5249,19682,3,No,18,3,1,13,8,7,7
32,Research & Development,Technical Degree,362,Male,84,Laboratory Technician,2176,19737,4,No,13,3,0,9,6,2,0
